Name,Access,Notes,Region/City,Robots/ToS,Type,URL
Liberecký kraj – Akce,Website,Regional calendar (verify),Liberecký kraj,,Regional DMO,https://www.liberecky-kraj.cz/akce
Královéhradecký kraj – Akce,Website,Regional calendar (verify),Královéhradecký,,Regional DMO,https://www.hkregion.cz/akce
O2 arena Praha – Program,Website,Large concerts & sports,Praha,,Arena,https://www.o2arena.cz/akce/
O2 universum – Program,Website,Large events/expos,Praha,,Venue,https://www.o2universum.cz/akce/
Forum Karlín – Program,Website,Concerts & talks,Praha,,Venue,https://www.forumkarlin.cz/akce/
Kongresové centrum Praha – Kalendář,Website,Conferences & shows,Praha,,Convention center,https://www.praguecc.cz/kalendar-akci
PVA Expo Letňany – Kalendář,Website,Trade fairs,Praha,,Exhibition center,https://www.pvaexpo.cz/kalendar
Výstaviště Praha – Akce,Website,Fairs & festivals,Praha,,Exhibition grounds,https://www.vystavistepraha.eu/akce
BVV Veletrhy Brno – Kalendář,Website,Trade fairs,Brno,,Exhibition center,https://www.bvv.cz/kalendar-akci/
Winning Group Arena (DRFG) – Program,Website,Hockey & concerts,Brno,,Arena,https://www.wgarena.cz/akce/
Ostravar Aréna – Program,Website,"Hockey, concerts",Ostrava,,Arena,https://www.arena-vitkovice.cz/program
ČEZ Aréna Pardubice – Program,Website,"Hockey, events",Pardubice,,Arena,https://www.enteriaarena.cz/program
Home Credit Arena Liberec – Program,Website,"Hockey, concerts",Liberec,,Arena,https://www.homecreditarena.cz/program/
Národní divadlo – Program,Website,"Opera, ballet, drama",Praha,,Theatre,https://www.narodni-divadlo.cz/program
Divadlo na Vinohradech – Program,Website,Drama theatre,Praha,,Theatre,https://www.divadlonavinohradech.com/program
Městské divadlo Brno – Program,Website,Musicals/drama,Brno,,Theatre,https://www.mdb.cz/repertoar
Divadlo Jiřího Myrona (Národní divadlo moravskoslezské) – Program,Website,Program pages per scene,Ostrava,,Theatre,https://www.ndm.cz/cz/opereta-muzikal/1-program.html
Národní muzeum – Kalendář,Website,Exhibitions & events,Praha,,Museum,https://www.nm.cz/program
Národní galerie Praha – Program,Website,Exhibitions & events,Praha,,Gallery,https://www.ngprague.cz/program
DOX – Program,Website,"Exhibitions, talks",Praha,,Gallery,https://www.dox.cz/program
Moravská galerie v Brně – Program,Website,Exhibitions & events,Brno,,Gallery,https://www.moravska-galerie.cz/program/
UK (Charles University) – Events,Website,Public lectures & events,Praha,,University,https://cuni.cz/UKEN-135.html
ČVUT – Kalendář akcí,Website,Tech events & talks,Praha,,University,https://aktualne.cvut.cz/kalendar-akci
VŠE – Kalendář akcí,Website,Uni events,Praha,,University,https://www.vse.cz/en/events/
Masaryk University – Events,Website,Uni events,Brno,,University,https://www.muni.cz/en/events
VUT Brno – Kalendář,Website,University events,Brno,,University,https://www.vutbr.cz/o-univerzite/aktuality/kalendar-udalosti
Fortuna:Liga – Zápasy,Website,Top football league fixtures,CZ,,Sports league,https://www.fortunaliga.cz/zapasy
Tipsport extraliga – Rozpis,Website,Top ice-hockey league schedule,CZ,,Sports league,https://www.hokej.cz/tipsport-extraliga/rozpis/
Kooperativa NBL – Program,Website,Basketball league fixtures,CZ,,Sports league,https://nbl.basketball/zapasy
Praha.eu Events,Website,regional DMO,Praha,,City DMO,https://www.prague.eu/en/events
Středočeská centrála cestovního ruchu,Website,regional DMO,Středočeský kraj,,Regional DMO,https://www.centralbohemia.cz/akce/
Jihočeská centrála cestovního ruchu,Website,regional DMO,Jihočeský kraj,,Regional DMO,https://www.jiznicechy.cz/akce
Karlovarský kraj – Events,Website,regional DMO,Karlovarský kraj,,Regional DMO,https://www.karlovyvary.cz/cs/akce
Ústecký kraj – Brána do Čech,Website,regional DMO,Ústecký kraj,,Regional DMO,https://www.branadocech.cz/akce
Pardubice – Region,Website,regional DMO,Pardubický kraj,,Regional DMO,https://www.pardubickykraj.cz/akce
Vysočina – Tourist,Website,regional DMO,Kraj Vysočina,,Regional DMO,https://www.vysocina.eu/akce/
Hlavní město Praha – Kultura,Website,city calendar,Praha,,City portal,https://www.praha.eu/jnp/cz/co_delat_v_praze/kultura/index.html
Karviná – Kultura,Website,city calendar,Karviná,,City portal,https://www.karvina.cz/akce
Opava – Kalendar,Website,city calendar,Opava,,City portal,https://www.opava-city.cz/cs/aktualne/kalendar-akci
Havířov – Kalendar,Website,city calendar,Havířov,,City portal,https://www.havirov-city.cz/akce
Kladno – Kalendar,Website,city calendar,Kladno,,City portal,https://www.mestokladno.cz/aktuality/kalendar-akci
Most – Akce,Website,city calendar,Most,,City portal,https://www.mesto-most.cz/akce
Frýdek‑Místek – Akce,Website,city calendar,Frýdek-Místek,,City portal,https://www.frydekmistek.cz/akce/
Teplice – Akce,Website,city calendar,Teplice,,City portal,https://www.teplice.cz/akce
Děčín – Akce,Website,city calendar,Děčín,,City portal,https://www.mmdecin.cz/akce
Chomutov – Akce,Website,city calendar,Chomutov,,City portal,https://www.chomutov.cz/akce
Jablonec nad Nisou – Akce,Website,city calendar,Jablonec nad Nisou,,City portal,https://www.mestojablonec.cz/akce
Mladá Boleslav – Akce,Website,city calendar,Mladá Boleslav,,City portal,https://www.mb-net.cz/kalendar-akci/
Prostějov – Kalendar,Website,city calendar,Prostějov,,City portal,https://www.prostejov.eu/cs/aktuality/kalendar-akci/
Přerov – Kalendar,Website,city calendar,Přerov,,City portal,https://www.prerov.eu/cs/aktuality/kalendar-akci/
Třinec – Akce,Website,city calendar,Třinec,,City portal,https://www.trinecko.cz/akce
Tábor – Kalendar,Website,city calendar,Tábor,,City portal,https://www.taborcz.eu/akce
Znojmo – Akce,Website,city calendar,Znojmo,,City portal,https://www.znojmocity.cz/akce
Uherské Hradiště – Akce,Website,city calendar,Uherské Hradiště,,City portal,https://www.mesto-uh.cz/akce
Výstaviště České Budějovice – Program,Website,venue/culture house,České Budějovice,,Exhibition center,https://www.vcb.cz/kalendar-akci/
Výstaviště Flora Olomouc – Program,Website,venue/culture house,Olomouc,,Exhibition center,https://www.flora-ol.cz/kalendar-akci
Congress Centre Brno – Events,Website,venue/culture house,Brno,,Convention center,https://www.centrum.brno.cz/en/events
Tipsport Arena Praha – Program,Website,venue/culture house,Praha,,Arena,https://sportovnizarezeni.cz/tipsport-arena/program/
Metronom Business Center – Events,Website,venue/culture house,Praha,,Venue,https://www.metronom.cz/events/
KC Zahrada – Program,Website,venue/culture house,Praha,,Culture house,https://www.kczahrada.cz/program
KD Vltava – Program,Website,venue/culture house,České Budějovice,,Culture house,https://www.kdvltava.cz/program
Kulturní dům Střelnice – Tábor,Website,venue/culture house,Tábor,,Culture house,https://www.strelnice.cz/program
KD Hronovická Pardubice,Website,venue/culture house,Pardubice,,Culture house,https://www.kcpce.cz/program
KD KD Šeříková Plzeň,Website,venue/culture house,Plzeň,,Culture house,https://www.klubserikovka.cz/program
Dům kultury města Ostravy – Program,Website,venue/culture house,Ostrava,,Culture house,https://www.dkmoas.cz/program/
Dům kultury Akord – Ostrava,Website,venue/culture house,Ostrava,,Culture house,https://www.akord.eu/program/
Dům kultury Uherský Brod,Website,venue/culture house,Uherský Brod,,Culture house,https://www.dkub.cz/program
KD Střelnice Jablonec,Website,venue/culture house,Jablonec nad Nisou,,Culture house,https://www.klub-strelnice.cz/program
KD Trisia Třinec,Website,venue/culture house,Třinec,,Culture house,https://www.trisia.cz/program
KD Horažďovice,Website,venue/culture house,Horažďovice,,Culture house,https://www.kd-horazdovice.cz/program
KD Mělník,Website,venue/culture house,Mělník,,Culture house,https://www.mekuc.cz/program
KD Ostrov,Website,venue/culture house,Ostrov,,Culture house,https://www.dk-ostrov.cz/program
KD Hlučín,Website,venue/culture house,Hlučín,,Culture house,https://www.kasshlucin.cz/program
AMU – Kalendář,Website,university events,Praha,,University,https://www.amu.cz/cs/kalendar/
UK FSV – Akce,Website,university events,Praha,,University faculty,https://fsv.cuni.cz/udalosti
UK Matfyz – Events,Website,university events,Praha,,University faculty,https://www.mff.cuni.cz/cs/fakulta/aktuality/kalendar-akci
Mendel University – Events,Website,university events,Brno,,University,https://www.mendelu.cz/kalendar-akci/
VFU (VETUNI) Brno – Akce,Website,university events,Brno,,University,https://www.vfu.cz/akce/
UPOL – Kalendář,Website,university events,Olomouc,,University,https://www.upol.cz/nc/kalendar-akci/
UPOL FF – Akce,Website,university events,Olomouc,,University faculty,https://www.ff.upol.cz/udalosti/
ZČU – Kalendář,Website,university events,Plzeň,,University,https://info.zcu.cz/kalendar/
UJEP – Kalendář,Website,university events,Ústí nad Labem,,University,https://www.ujep.cz/kalendar
TUL – Kalendář,Website,university events,Liberec,,University,https://www.tul.cz/udalosti/
UHK – Kalendář,Website,university events,Hradec Králové,,University,https://www.uhk.cz/cs/udalosti
Uni Pardubice – Kalendář,Website,university events,Pardubice,,University,https://www.upce.cz/kalendar
JU – Kalendář,Website,university events,České Budějovice,,University,https://www.jcu.cz/kalendar-akci
UTB – Kalendář,Website,university events,Zlín,,University,https://www.utb.cz/udalosti/
VŠB-TUO – Kalendář,Website,university events,Ostrava,,University,https://www.vsb.cz/cs/o-univerzite/aktuality/kalendar-akci/
OU – Kalendář,Website,university events,Ostrava,,University,https://www.osu.cz/kalendar-akci/
Slezská univerzita – Kalendář,Website,university events,Opava/Karviná,,University,https://www.slu.cz/slu/cz/udalosti
Univerzita Tomáše Bati – FMK – Akce,Website,university events,Zlín,,University faculty,https://fmk.utb.cz/udalosti/
Colours of Ostrava,Website,festival,Ostrava,,Festival,https://www.colours.cz/
Rock for People,Website,festival,Hradec Králové,,Festival,https://rockforpeople.cz/
Metronome Prague,Website,festival,Praha,,Festival,https://www.metronome.cz/
United Islands of Prague,Website,festival,Praha,,Festival,https://unitedislands.cz/
Signal Festival,Website,festival,Praha,,Festival,https://www.signalfestival.com/
Pražské jaro,Website,festival,Praha,,Festival,https://www.festival.cz/
Dvořákova Praha,Website,festival,Praha,,Festival,https://www.dvorakovapraha.cz/
KVIFF – Karlovy Vary,Website,festival,Karlovy Vary,,Festival,https://www.kviff.com/
Let It Roll,Website,festival,Středočeský kraj,,Festival,ttps://letitroll.eu/
Hip Hop Kemp,Website,festival,Hradec Králové,,Festival,https://www.hiphopkemp.cz/
Beats for Love,Website,festival,Ostrava,,Festival,https://www.b4l.cz/
Brutal Assault,Website,festival,Josefov/Jaroměř,,Festival,https://brutalassault.cz/
Masters of Rock,Website,festival,Vizovice,,Festival,https://www.mastersofrock.cz/
Benátská!,Website,festival,Liberec,,Festival,https://www.benatska.cz/
Trutnoff Open Air,Website,festival,Trutnov,,Festival,https://festivaltrutnov.cz/
Hrady CZ,Website,festival,ČR (různá místa),,Festival,https://www.hradycz.cz/
Macháč Festival,Website,festival,Máchovo jezero,,Festival,https://festivalmachac.cz/
MFF Zlín,Website,festival,Zlín,,Festival,https://www.zlinfest.cz/
Bohemia Jazz Fest,Website,festival,ČR (různá města),,Festival,https://www.bohemiajazzfest.cz/
Struny podzimu,Website,festival,Praha,,Festival,https://www.strunypodzimu.cz/
Tanec Praha,Website,festival,Praha,,Festival,https://tanecpraha.cz/
Signal – Gallery events,Website,festival,Praha,,Festival/Gallery,https://signal.space/
SK Slavia Praha – Zápasy,Website,sports fixtures,Praha,,Football club,https://www.slavia.cz/zapasy.asp
AC Sparta Praha – Zápasy,Website,sports fixtures,Praha,,Football club,https://sparta.cz/cs/tymy/a-tym/matchcenter
FC Viktoria Plzeň – Zápasy,Website,sports fixtures,Plzeň,,Football club,https://www.fcviktoria.cz/zapasy
FC Baník Ostrava – Zápasy,Website,sports fixtures,Ostrava,,Football club,https://www.fcb.cz/zapas
SK Sigma Olomouc – Zápasy,Website,sports fixtures,Olomouc,,Football club,https://www.sigmaolomouc.cz/zapasy
1. FC Slovácko – Zápasy,Website,sports fixtures,Uherské Hradiště,,Football club,https://www.fcslovacko.cz/
FK Jablonec – Zápasy,Website,sports fixtures,Jablonec,,Football club,https://www.fkjablonec.cz/zapasy
MFK Karviná – Zápasy,Website,sports fixtures,Karviná,,Football club,https://www.mfkkarvina.cz/zapasy
Bohemians Praha 1905 – Zápasy,Website,sports fixtures,Praha,,Football club,https://www.bohemians.cz/
FK Teplice – Zápasy,Website,sports fixtures,Teplice,,Football club,https://www.fkteplice.cz/zapasy
Dynamo České Budějovice – Zápasy,Website,sports fixtures,České Budějovice,,Football club,https://www.dynamocb.cz/zapasy
FC Hradec Králové – Zápasy,Website,sports fixtures,Hradec Králové,,Football club,https://www.fchk.cz/
Mladá Boleslav – Zápasy,Website,sports fixtures,Mladá Boleslav,,Football club,https://www.mfkmb.cz/zapasy
HC Sparta Praha – Program,Website,sports fixtures,Praha,,Hockey club,https://www.hcsparta.cz/zapas.asp
HC Oceláři Třinec – Program,Website,sports fixtures,Třinec,,Hockey club,https://www.hcocelari.cz/zapasy.asp
HC Kometa Brno – Program,Website,sports fixtures,Brno,,Hockey club,https://www.hc-kometa.cz/zapas.asp
HC Dynamo Pardubice – Program,Website,sports fixtures,Pardubice,,Hockey club,https://www.hcdynamo.cz/zapas.asp
Bílí Tygři Liberec – Program,Website,sports fixtures,Liberec,,Hockey club,https://www.hcbilitygri.cz/zapas.asp
HC Verva Litvínov – Program,Website,sports fixtures,Litvínov,,Hockey club,https://www.hcverva.cz/zapas.asp
HC Energie Karlovy Vary – Program,Website,sports fixtures,Karlovy Vary,,Hockey club,https://www.hokejkv.cz/zapasy.asp
HC Olomouc – Program,Website,sports fixtures,Olomouc,,Hockey club,https://www.hc-olomouc.cz/zapas.asp
HC Motor České Budějovice – Program,Website,sports fixtures,České Budějovice,,Hockey club,https://www.hcmotor.cz/zapasy.asp
PSG Berani Zlín – Program,Website,sports fixtures,Zlín,,Hockey club,https://www.hokej.zlin.cz/zapas.asp
BK Opava – Zápasy,Website,sports fixtures,Opava,,Basketball club,https://www.bkopava.cz/
Basket Brno – Zápasy,Website,sports fixtures,Brno,,Basketball club,https://www.basketbrno.cz/
USK Praha – Zápasy,Website,sports fixtures,Praha,,Basketball club,https://www.uskpraha.cz/
BK Pardubice – Zápasy,Website,sports fixtures,Pardubice,,Basketball club,https://bkpardubice.cz/
SLUNETA Ústí n. L. – Zápasy,Website,sports fixtures,Ústí nad Labem,,Basketball club,https://www.sluneta.cz/
NH Ostrava – Zápasy,Website,sports fixtures,Ostrava,,Basketball club,https://www.nhostrava.cz/
Divadlo Hybernia – Program,Website,theatre program,Praha,,Theatre,https://www.hybernia.cz/program/
Hudební divadlo Karlín – Program,Website,theatre program,Praha,,Theatre,https://www.hdk.cz/program
Divadlo na Fidlovačce – Program,Website,theatre program,Praha,,Theatre,https://www.fidlovacka.cz/program/
Švandovo divadlo – Program,Website,theatre program,Praha,,Theatre,https://www.svandovodivadlo.cz/program
Městská divadla pražská – Program,Website,theatre program,Praha,,Theatre,https://www.mestskadivadlaprazska.cz/program/
Divadlo Husa na provázku – Program,Website,theatre program,Brno,,Theatre,https://www.provazek.cz/program
Divadlo ABC – Program,Website,theatre program,Praha,,Theatre,https://www.mestskadivadlaprazska.cz/repertoar/
Divadlo J. K. Tyla – Program,Website,theatre program,Plzeň,,Theatre,https://www.djkt.eu/program
Divadlo F. X. Šaldy – Program,Website,theatre program,Liberec,,Theatre,https://www.saldanl.cz/program
Moravské divadlo Olomouc – Program,Website,theatre program,Olomouc,,Theatre,https://www.moravskedivadloolomouc.cz/program
Slezské divadlo Opava – Program,Website,theatre program,Opava,,Theatre,https://www.divadlo-opava.cz/
Technické muzeum v Brně – Kalendář,Website,museum/gallery,Brno,,Museum,https://www.technicalmuseum.cz/akce/
Muzeum hlavního města Prahy – Program,Website,museum/gallery,Praha,,Museum,https://www.muzeumprahy.cz/akce/
Národní zemědělské muzeum – Akce,Website,museum/gallery,Praha/ČR,,Museum,https://www.nzm.cz/akce
Moravské zemské muzeum – Program,Website,museum/gallery,Brno,,Museum,https://www.mzm.cz/akce/
Galerie hlavního města Prahy – Program,Website,museum/gallery,Praha,,Gallery,https://www.ghmp.cz/program/
Galerie Rudolfinum – Program,Website,museum/gallery,Praha,,Gallery,https://www.galerierudolfinum.cz/program/
Kunsthalle Praha – Program,Website,museum/gallery,Praha,,Gallery,https://www.kunsthallepraha.org/program
Galerie výtvarného umění Ostrava (GVUO),Website,museum/gallery,Ostrava,,Gallery,https://www.gvuo.cz/
Muzeum umění Olomouc,Website,museum/gallery,Olomouc,,Museum/Gallery,https://www.muo.cz/
Západočeské muzeum v Plzni – Akce,Website,museum/gallery,Plzeň,,Museum,https://www.zcm.cz/akce
Roxy Prague – Program,Website,club/music venue,Praha,,Club,https://www.roxy.cz/program
Lucerna Music Bar – Program,Website,club/music venue,Praha,,Club,https://www.musicbar.cz/program/
Palác Akropolis – Program,Website,club/music venue,Praha,,Club,https://www.palacakropolis.cz/program
MeetFactory – Program,Website,club/music venue,Praha,,Club,https://www.meetfactory.cz/program
Jazz Dock – Program,Website,club/music venue,Praha,,Club,https://www.jazzdock.cz/program
Futurum Music Bar – Program,Website,club/music venue,Praha,,Club,https://www.futurum.cz/program
Fléda – Program,Website,club/music venue,Brno,,Club,https://www.fleda.cz/program
Sono Centrum – Program,Website,club/music venue,Brno,,Club,https://www.sonocentrum.cz/program
Archa+ (dříve Divadlo Archa) – Program,Website,club/music venue,Praha,,Venue,https://www.archaplus.cz/program
STORM Club – Program,Website,club/music venue,Praha,,Club,https://www.stormclub.cz/program
Kabinet MÚZ – Program,Website,club/music venue,Brno,,Club,https://www.kabinetmuz.cz/program
Kasárna Karlín – Program,Website,club/music venue,Praha,,Venue,https://www.kasarnakarlin.cz/program
DEPO2015 – Program,Website,club/music venue,Plzeň,,Venue,https://www.depo2015.cz/program
Kampus Hybernská – Program,Website,club/music venue,Praha,,Venue,https://www.hybernska.cz/program
Cross Club – Program,Website,club/music venue,Praha,,Club,https://www.crossclub.cz/cs/program/
Třebíč – Akce,Website,city calendar,Třebíč,,City portal,https://www.trebic.cz/akce
Žďár nad Sázavou – Kultura,Website,city calendar,Žďár nad Sázavou,,City portal,https://www.zdarns.cz/udalosti
Havlíčkův Brod – Akce,Website,city calendar,Havlíčkův Brod,,City portal,https://www.muhb.cz/akce
Pelhřimov – Kalendar,Website,city calendar,Pelhřimov,,City portal,https://www.pelhrimovsko.cz/akce/
Jihlava – Kultura,Website,city calendar,Jihlava,,City portal,https://jihlava.cz/volny-cas/kalendar-akci
Jindřichův Hradec – Akce,Website,city calendar,Jindřichův Hradec,,City portal,https://www.jh.cz/akce
Tábor – Kultura,Website,city calendar,Tábor,,City portal,https://www.taborcz.eu/kalendar-akci
Písek – Kalendar,Website,city calendar,Písek,,City portal,https://www.pisek.eu/kalendar-akci/
Strakonice – Akce,Website,city calendar,Strakonice,,City portal,https://www.strakonice.eu/kalendar-akci
Třeboň – Akce,Website,city calendar,Třeboň,,City portal,https://www.itrebon.cz/akce/
Kolín – Akce,Website,city calendar,Kolín,,City portal,https://www.mukolin.cz/akce
Kutná Hora – Akce,Website,city calendar,Kutná Hora,,City portal,https://www.kutnahora.cz/akce
Mělník – Akce,Website,city calendar,Mělník,,City portal,https://www.melnik.cz/akce
Beroun – Akce,Website,city calendar,Beroun,,City portal,https://www.mesto-beroun.cz/akce/
Kralupy nad Vltavou – Akce,Website,city calendar,Kralupy nad Vltavou,,City portal,https://www.kralupy.cz/akce
Benešov – Akce,Website,city calendar,Benešov,,City portal,https://www.benesov-city.cz/akce
Brandýs n. L. – Stará Boleslav – Akce,Website,city calendar,Brandýs n. L. – Stará Boleslav,,City portal,https://www.brandysko.cz/akce
Nymburk – Akce,Website,city calendar,Nymburk,,City portal,https://www.mestonnymburk.cz/akce
Chrudim – Akce,Website,city calendar,Chrudim,,City portal,https://www.chrudim.eu/akce
Svitavy – Akce,Website,city calendar,Svitavy,,City portal,https://www.svitavy.cz/akce
Ústí nad Orlicí – Akce,Website,city calendar,Ústí nad Orlicí,,City portal,https://www.ustinadorlici.cz/akce
Náchod – Akce,Website,city calendar,Náchod,,City portal,https://www.mestonachod.cz/akce
Trutnov – Akce,Website,city calendar,Trutnov,,City portal,https://www.trutnov.cz/akce
Jičín – Kalendar,Website,city calendar,Jičín,,City portal,https://www.jicinsky.cz.cz/kalendar-akci/
Rychnov n. Kněžnou – Akce,Website,city calendar,Rychnov nad Kněžnou,,City portal,https://www.murkn.cz/akce
Litoměřice – Akce,Website,city calendar,Litoměřice,,City portal,https://www.litomerice.cz/akce
Louny – Akce,Website,city calendar,Louny,,City portal,https://www.louny.eu/akce
Žatec – Akce,Website,city calendar,Žatec,,City portal,https://www.mesto-zatec.cz/akce
Most – Kultura,Website,city calendar,Most,,City portal,https://www.mesto-most.cz/kultura/akce
Litvínov – Akce,Website,city calendar,Litvínov,,City portal,https://www.mulitvinovvinov.cz/akce
Rumburk – Akce,Website,city calendar,Rumburk,,City portal,https://www.mestorumburk.cz/akce
Děčín – Kultura,Website,city calendar,Děčín,,City portal,https://www.mmdecin.cz/kultura-a-sport/akce
Teplice – Kultura,Website,city calendar,Teplice,,City portal,https://www.teplice.cz/kalendar-akci
Břeclav – Akce,Website,city calendar,Břeclav,,City portal,https://www.breclav.eu/kalendar-akci
Hodonín – Akce,Website,city calendar,Hodonín,,City portal,https://www.hodonin.eu/akce
Blansko – Akce,Website,city calendar,Blansko,,City portal,https://www.blansko.cz/kalendar-akci
Kroměříž – Akce,Website,city calendar,Kroměříž,,City portal,https://www.mesto-kromeriz.cz/akce
Vyškov – Akce,Website,city calendar,Vyškov,,City portal,https://www.vyskov-mesto.cz/akce
Vsetín – Akce,Website,city calendar,Vsetín,,City portal,https://www.mestovsetin.cz/akce
Valašské Meziříčí – Akce,Website,city calendar,Valašské Meziříčí,,City portal,https://www.valmez.cz/akce
Nový Jičín – Akce,Website,city calendar,Nový Jičín,,City portal,https://www.novyjicin.cz/akce
Šumperk – Akce,Website,city calendar,Šumperk,,City portal,https://www.sumperk.cz/akce
Jeseník – Akce,Website,city calendar,Jeseník,,City portal,https://www.jesenik.org/akce
Bruntál – Akce,Website,city calendar,Bruntál,,City portal,https://www.mubruntal.cz/akce
Krnov – Akce,Website,city calendar,Krnov,,City portal,https://www.krnov.cz/akce
DK Litoměřice – Program,Website,culture house program,Litoměřice,,Culture house,https://www.mkzlitomerice.cz/program
DK Kroměříž – Program,Website,culture house program,Kroměříž,,Culture house,https://www.dk-kromeriz.cz/program
DK Břeclav – Program,Website,culture house program,Břeclav,,Culture house,https://www.kulturabreclav.cz/program
DK Hodonín – Program,Website,culture house program,Hodonín,,Culture house,https://www.dkhodonin.eu/program
DK Vsetín – Dům kultury Vsetín,Website,culture house program,Vsetín,,Culture house,https://www.dkvsetin.cz/program
DK Šumperk – Program,Website,culture house program,Šumperk,,Culture house,https://www.dksumperk.cz/program
DK Nový Jičín – Program,Website,culture house program,Nový Jičín,,Culture house,https://www.kultura.novyjicin.cz/program
DK Krnov – Program,Website,culture house program,Krnov,,Culture house,https://www.mikskrnov.cz/program
DK Znojmo – Program,Website,culture house program,Znojmo,,Culture house,https://www.zkcas.cz/program
DK Písek – Program,Website,culture house program,Písek,,Culture house,https://www.centrumkultury.cz/program
DK Žďár – Program,Website,culture house program,Žďár nad Sázavou,,Culture house,https://www.dkzdar.cz/program
DK Kolín – Městské divadlo/MDK,Website,culture house program,Kolín,,Culture house,https://www.divadlokolin.cz/program
DK Karlovy Vary – Láz. kult. centrum,Website,culture house program,Karlovy Vary,,Culture house,https://www.kvpoint.cz/program
DK Teplice – Krušnohorské divadlo,Website,culture house program,Teplice,,Culture house,https://www.kcuteplice.cz/program
DK Liberec – Lidové sady,Website,culture house program,Liberec,,Culture house,https://www.lidovesady.cz/program
DK Jablonec – Eurocentrum,Website,culture house program,Jablonec n. N.,,Culture house,https://www.eurocentrumjablonec.cz/program
DK Trutnov – UFFO,Website,culture house program,Trutnov,,Culture house,https://www.uffo.cz/program
DK Náchod – Beránek,Website,culture house program,Náchod,,Culture house,https://www.beraneknachod.cz/program
DK Chrudim – Program,Website,culture house program,Chrudim,,Culture house,https://www.chrudimskakultura.cz/program
DK Svitavy – Fabrika,Website,culture house program,Svitavy,,Culture house,https://www.fabrikasvitavy.eu/program
DK Ústí n. O. – Roškotovo divadlo,Website,culture house program,Ústí nad Orlicí,,Culture house,https://www.olsusti.cz/program
VIDA! science center – Program,Website,science/planetarium,Brno,,Science center,https://vida.cz/akce
Techmania Science Center – Program,Website,science/planetarium,Plzeň,,Science center,https://www.techmania.cz/program
iQLANDIA Liberec – Program,Website,science/planetarium,Liberec,,Science center,https://www.iqlandia.cz/program
Planetum – Planetárium Praha – Program,Website,science/planetarium,Praha,,Planetarium,https://www.planetum.cz/program
Hvězdárna a planetárium Brno – Program,Website,science/planetarium,Brno,,Planetarium,https://www.hvezdarna.cz/program
Hvězdárna Valašské Meziříčí – Program,Website,science/planetarium,Valašské Meziříčí,,Observatory,https://www.astrovm.cz/akce.html
Hvězdárna a planetárium Ostrava – Program,Website,science/planetarium,Ostrava,,Planetarium,https://www.planetariumostrava.cz/program
